fffffff007bbdaf4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c252a4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c265e8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2686c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c26a1c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c26ea0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c26ffc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c27eb4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c29b8c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c29c84	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2a048	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2a3b0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2a6cc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2a924	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2abfc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ad40	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ae24	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2b2a8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2b3fc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2b530	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2b6a0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2b890	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ba04	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2c640	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2c718	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2dc04	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2dfac	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2e0d8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2e634	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2e7d4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2e8c4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ea30	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2eb88	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ed40	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ee6c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2f140	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2f388	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2f6fc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2f944	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2fcb8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2fdd4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c2ff34	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c318d4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c31950	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c319b4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c31dd4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c31f4c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c31fe8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3261c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c334c0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3364c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c338cc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c33bf0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c33cf8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c33ec4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c34178	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3bd74	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3d298	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3de70	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3e1c8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3e288	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3e344	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c3e470	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c44d74	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c45198	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c45230	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c45340	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c45df4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47370	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47400	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c474ac	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47568	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47614	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47b9c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47df0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c47efc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c48ad4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c48c18	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c48e90	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c49140	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c49378	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c49510	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c499d0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c49b88	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4a780	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4a7dc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4a940	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4aa1c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4b1cc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4bb24	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4bcf4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4bee8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4c0b4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4c7ec	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4c938	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4cc60	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4d4dc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4d7e0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4d928	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4daac	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4dd38	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4de64	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4e0a8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4e268	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4e378	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4e494	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4f998	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4fd7c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c4ffcc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c50214	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c504a8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c50594	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c507fc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c516d8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51768	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51820	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5189c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51958	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c519c8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51b78	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51d34	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51e00	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c51f6c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52074	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5219c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c522f0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52518	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52658	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5275c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52888	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52a6c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52b58	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52c20	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52c7c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52ce4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52d78	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c52ee0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c53248	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c533b8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c537fc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c53870	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c53b24	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c53d40	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5415c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c54288	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c54388	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c54474	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5455c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c54644	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c54718	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c547f0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c54cf0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5522c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c55f68	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c56044	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c569a8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c56bfc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c57350	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c579a4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c57c9c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c57da0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c57ed0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c58f40	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5903c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c59248	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c594b0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c595ac	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5975c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c59994	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5b15c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5b294	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5be9c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5c094	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5c204	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5c37c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5c51c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5d338	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5d394	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5d588	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5f5c0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5f6e0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5f850	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5fa40	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5fc10	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c5fddc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c60304	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c6c060	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c6c2ec	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c6d428	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c6d9f4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c6db2c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c6db58	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007c818b4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007cdb960	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d08710	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d08b0c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d08ed4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d0b448	0xd500409f  MSR   	PAN, #0                	X -  (0 0x0)
fffffff007d0b460	0xd500419f  MSR   	PAN, #1                	X -  (0 0x0)
fffffff007d0b9f8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d0de9c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d0e614	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d0e804	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d0fe54	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d0ffe4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d10070	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d10140	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d10218	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d102bc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d1148c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d114a0	0xd51b4234  MSR   	DAIF, X20              	X -  (20 0x0)
fffffff007d1fb78	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d1fbd8	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007d1fc60	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d1fc98	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007d21fa4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d21fc8	0xd51b4220  MSR   	DAIF, X0               	X -  (0 0x0)
fffffff007d237f4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d23810	0xd51b4233  MSR   	DAIF, X19              	X -  (19 0x0)
fffffff007d24130	0xd51ef1a8  MSR   	S3_6_C15_C1_5, X8      	X -  (8 0x140)
fffffff007d2522c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d25264	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007d252e4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d25344	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007d26af0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d26b04	0xd51b4233  MSR   	DAIF, X19              	X -  (19 0x0)
fffffff007d26b64	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d26b88	0xd51b4220  MSR   	DAIF, X0               	X -  (0 0x0)
fffffff007d26ba0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d26bc4	0xd51b4220  MSR   	DAIF, X0               	X -  (0 0x0)
fffffff007d27d6c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007d27d90	0xd51b4220  MSR   	DAIF, X0               	X -  (0 0x0)
fffffff007d27da8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
