fffffff007a65a90	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad5718	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad5940	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad5ca0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad5e90	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad61a4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad6350	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad63f0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad77c0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad7944	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad7a54	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad7d0c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad7dec	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad8314	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad8f78	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad90e4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad9348	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad9664	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad976c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad9904	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ad9ba4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae2444	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae3ad0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae48cc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae4d30	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae4de8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae4e9c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007ae5014	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aebab4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aebf24	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aebfdc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aec0e0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aecbb8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aee4b4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aee4f4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aee554	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aee5a0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aee5fc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aeec54	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aeeeb4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007aeffe4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af0264	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af03b4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af053c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af0714	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af0bc8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af0d04	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af0e30	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af1ce8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af1e44	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af1f10	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af21f0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af2a6c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af32c0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af3478	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af3640	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af3814	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af3f60	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af40c8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af4390	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af4c48	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af4f28	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af505c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af51d0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af5470	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af55a4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af5794	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af5930	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af5a08	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af5b28	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af6d84	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af7210	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af7320	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af759c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8420	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8480	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af84ec	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af854c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af85b0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af85e8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8700	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8a3c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8af8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8c58	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8dd0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af8f68	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af90a0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af92d0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af94a4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af95d4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9700	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af98e0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9928	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9a10	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9a44	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9a78	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9aac	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007af9d4c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afa0dc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afa5dc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afa680	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afa9a4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afacb0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb1b0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb34c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb4bc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb618	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb76c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb8bc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afb97c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afba40	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afbf80	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afc440	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afd0ac	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afd180	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afda18	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afdc70	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afe364	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afe940	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afec30	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afed30	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007afee58	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007affd8c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007affe80	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b000b0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b00304	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b0040c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b00604	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b00834	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b01e9c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b01ed0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b02a4c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b02d88	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b02f0c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b030c8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b03288	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b041d0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b04214	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b0455c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b048c0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b07338	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b07748	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b07884	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b079c8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b07ae0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b07be0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b07d78	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b083e8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b0fdbc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b12e20	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b130d4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b14010	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b14588	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b146b8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b146e4	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b294dc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007b7e81c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bac730	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bacb60	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bacef0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007baf6a8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb1820	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb2008	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb21f8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb39e0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb3bdc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb3c68	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb3d3c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb3e14	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb3eb8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb98c0	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bb9e0c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bba778	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bba818	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bbab14	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bbad80	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bbb100	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bbb544	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc1fbc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc201c	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007bc208c	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc20c4	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007bc5efc	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc5f20	0xd51b4220  MSR   	DAIF, X0               	X -  (0 0x0)
fffffff007bc7f38	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc7f54	0xd51b4233  MSR   	DAIF, X19              	X -  (19 0x0)
fffffff007bc8808	0xd51ef1a8  MSR   	S3_6_C15_C1_5, X8      	X -  (8 0x140)
fffffff007bc9a38	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc9a70	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007bc9ad8	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bc9b38	0xd51b4237  MSR   	DAIF, X23              	X -  (23 0x0)
fffffff007bcae20	0xd50347df  MSR   	DAIFSet, #7            	X -  (0 0x0)
fffffff007bcae34	0xd51b4233  MSR   	DAIF, X19              	X -  (19 0x0)
fffffff007bcb124	0xd51bd060  MSR   	TPIDRRO_EL0, X0        	X - Thread Pointer/ID Register (0 0x0)
fffffff007bcbc70	0xd51cf269  MSR   	ARM64_REG_KTRR_LOWER_EL1, X9	X -  (9 0xfffffff00772a6d8)
fffffff007bcbc74	0xd51cf28a  MSR   	ARM64_REG_KTRR_UPPER_EL1, X10	X -  (10 0xfffffff00772a6e0)
fffffff007bcbc8c	0xd51cf2a9  MSR   	S3_4_C15_C2_5, X9      	X -  (9 0x12)
fffffff007bcbc94	0xd51cf249  MSR   	ARM64_REG_KTRR_LOCK_EL1, X9	X -  (9 0x1)
fffffff007bcbec0	0xd500409f  MSR   	PAN, #0                	X -  (0 0x0)
fffffff007bcbed4	0xd500419f  MSR   	PAN, #1                	X -  (0 0x0)
fffffff007bcc0d8	0xd500409f  MSR   	PAN, #0                	X -  (0 0x0)
fffffff007bcc0e8	0xd500419f  MSR   	PAN, #1                	X -  (0 0x0)
