user.cs_path: /usr/bin:/bin:/usr/sbin:/sbin
kern.skywalk.flowswitch.rx_agg_tcp_host: 2
kern.skywalk.flowswitch.ipfm_frag_ttl: 60
kern.skywalk.flowswitch.ipfm_timeout_tcall_ival: 1
kern.skywalk.flowswitch.flow_route_expire: 600
kern.skywalk.flowswitch.en0.ipfm.frag_limit: 3328
kern.skywalk.flowswitch.en0.ipfm.frag_count: 0
kern.skywalk.flowswitch.en0.ipfm.queue_limit: 1024
kern.skywalk.flowswitch.en0.ipfm.queue_count: 0
kern.skywalk.flowswitch.en2.ipfm.frag_limit: 320
kern.skywalk.flowswitch.en2.ipfm.frag_count: 0
kern.skywalk.flowswitch.en2.ipfm.queue_limit: 160
kern.skywalk.flowswitch.en2.ipfm.queue_count: 0
kern.skywalk.flowswitch.awdl0.ipfm.frag_limit: 320
kern.skywalk.flowswitch.awdl0.ipfm.frag_count: 0
kern.skywalk.flowswitch.awdl0.ipfm.queue_limit: 160
kern.skywalk.flowswitch.awdl0.ipfm.queue_count: 0
kern.skywalk.flowswitch.pdp_ip0.ipfm.frag_limit: 2240
kern.skywalk.flowswitch.pdp_ip0.ipfm.frag_count: 0
kern.skywalk.flowswitch.pdp_ip0.ipfm.queue_limit: 1024
kern.skywalk.flowswitch.pdp_ip0.ipfm.queue_count: 0
kern.skywalk.flowswitch.pdp_ip1.ipfm.frag_limit: 2240
kern.skywalk.flowswitch.pdp_ip1.ipfm.frag_count: 0
kern.skywalk.flowswitch.pdp_ip1.ipfm.queue_limit: 1024
kern.skywalk.flowswitch.pdp_ip1.ipfm.queue_count: 0
kern.skywalk.flowswitch.en1.ipfm.frag_limit: 320
kern.skywalk.flowswitch.en1.ipfm.frag_count: 0
kern.skywalk.flowswitch.en1.ipfm.queue_limit: 160
kern.skywalk.flowswitch.en1.ipfm.queue_count: 0
kern.skywalk.netif.default_drop: 0
kern.skywalk.ring_stat_enable: 0
kern.eventhandler.debug: 0
kern.monotonic.pmis: 189 0
kern.monotonic.retrograde_updates: 0 0
kern.monotonic.supported: 1
kern.monotonic.task_thread_counting: 1
kern.dirtystatus_tracking_enabled: 0
kern.jetsam_aging_policy: 2
kern.memorystatus_apps_idle_delay_time: 10
kern.memorystatus_level: 82
kern.memorystatus_sysprocs_idle_delay_time: 10
kern.memorystatus_freeze_budget_pages_remaining: 65536
kern.memorystatus_freeze_count: 0
kern.memorystatus_freeze_interval: 0
kern.memorystatus_freeze_jetsam_band: 8
kern.memorystatus_freeze_min_processes: 4
kern.memorystatus_freeze_pageouts: 0
kern.memorystatus_freeze_pages_max: 134272
kern.memorystatus_freeze_pages_min: 512
kern.memorystatus_freeze_private_shared_pages_ratio: 2
kern.memorystatus_freeze_processes_max: 20
kern.memorystatus_freezer_below_threshold_count: 0
kern.memorystatus_freezer_bytes_refrozen: 0
kern.memorystatus_freezer_error_below_min_pages_count: 0
kern.memorystatus_freezer_error_excess_shared_memory_count: 0
kern.memorystatus_freezer_error_low_private_shared_ratio_count: 0
kern.memorystatus_freezer_error_low_probability_of_use_count: 0
kern.memorystatus_freezer_error_no_compressor_space_count: 0
kern.memorystatus_freezer_error_no_swap_space_count: 0
kern.memorystatus_freezer_error_other_count: 0
kern.memorystatus_freezer_process_considered_count: 0
kern.memorystatus_freezer_refreeze_count: 0
kern.memorystatus_freezer_shared_pages_skipped: 0
kern.memorystatus_freezer_skipped_full_count: 0
kern.memorystatus_freezer_skipped_shared_mb_high_count: 0
kern.memorystatus_freezer_thaw_percentage: 100
kern.memorystatus_max_freeze_demotions_daily: 2
kern.memorystatus_thaw_count: 0
kern.memorystatus_thaw_count_demotion_threshold: 5
kern.memorystatus_thaw_count_since_boot: 0
kern.memorystatus_purge_on_critical: 8
kern.memorystatus_purge_on_urgent: 5
kern.memorystatus_purge_on_warning: 2
kern.msgbuf: 16384
kern.task_exc_guard_default: 0
kern.ulock_adaptive_spin_usecs: 20
kern.secure_kernel: 1
kern.willuserspacereboot: 0
kern.maxnbuf: 4820
kern.nbuf: 4820
kern.flush_cache_on_write: 0
kern.wq_max_constrained_threads: 64
kern.wq_max_threads: 512
kern.wq_max_timer_interval_usecs: 50000
kern.wq_reduce_pool_window_usecs: 5000000
kern.wq_stalled_window_usecs: 200
kern.libmalloc_experiments: 0
kern.sugid_scripts: 0
kern.affinity_sets_enabled: 0
kern.affinity_sets_mapping: 0
kern.bootargs: -v 
kern.bootsessionuuid: 95DEB675-F6C5-420B-B853-4F399FDBCD24
kern.cpu_checkin_interval: 4000
kern.darkboot: 0
kern.direct_handoff: 1
kern.free_vnodes: 2363
kern.hv_vmm_present: 0
kern.ikm_signature_failure_id: 0
kern.ikm_signature_failures: 0
kern.iossupportversion: 
kern.ipc_portbt: 0
kern.ipc_voucher_trace_contents: 0
kern.kern_feature_overrides: 1
kern.minimalboot: 0
kern.namecache_disabled: 0
kern.num_files: 2355
kern.num_recycledvnodes: 43590
kern.num_static_scalable_counters: 31
kern.num_tasks: 1024
kern.num_taskthreads: 1024
kern.num_threads: 5120
kern.num_vnodes: 5700
kern.osproductversion: 14.7
kern.osreleasetype: Beta
kern.preheat_max_bytes: 524288
kern.preheat_min_bytes: 32768
kern.sched: amp
kern.sched_allow_NO_SMT_threads: 1
kern.sched_enable_smt: 1
kern.singleuser: 0
kern.slide: 1
kern.speculative_prefetch_max: 2097152
kern.speculative_prefetch_max_iosize: 524288
kern.stack_depth_max: 0
kern.stack_size: 16384
kern.thread_groups_supported: 1
kern.timer_coalesce_bg_ns_max: 100000000
kern.timer_coalesce_bg_scale: -5
kern.timer_coalesce_fp_ns_max: 1000000
kern.timer_coalesce_fp_scale: 3
kern.timer_coalesce_kt_ns_max: 1000000
kern.timer_coalesce_kt_scale: 3
kern.timer_coalesce_tier0_ns_max: 1000000
kern.timer_coalesce_tier0_scale: 3
kern.timer_coalesce_tier1_ns_max: 5000000
kern.timer_coalesce_tier1_scale: 2
kern.timer_coalesce_tier2_ns_max: 20000000
kern.timer_coalesce_tier2_scale: 1
kern.timer_coalesce_tier3_ns_max: 75000000
kern.timer_coalesce_tier3_scale: -2
kern.timer_coalesce_tier4_ns_max: 10000000000
kern.timer_coalesce_tier4_scale: -15
kern.timer_coalesce_tier5_ns_max: 10000000000
kern.timer_coalesce_tier5_scale: -15
kern.timer_coalesce_ts_ns_max: 1000000
kern.timer_coalesce_ts_scale: 3
kern.timer_resort_threshold_ns: 50000000
kern.trial_deployment_id: -1
kern.trial_experiment_id: 
kern.trial_treatment_id: 
kern.uuid: D3B748D1-1381-36FA-9105-7A144EB4EB63
kern.vfsnspace: 0
kern.vm_max_batch: 256
kern.vm_max_delayed_work_limit: 32
kern.vm_page_free_min: 1252
kern.vm_page_free_reserved: 100
kern.vm_page_free_target: 2000
kern.vm_page_speculative_percentage: 5
kern.vm_page_speculative_q_age_ms: 500
kern.useractive_abs_time: 142532625
kern.userinactive_abs_time: 0
kern.pmtimeout: 0
kern.iokittest: 0
kern.aotmode: 0
kern.waketime: { sec = 0, usec = 0 } Wed Dec 31 19:00:00 1969
kern.sleeptime: { sec = 0, usec = 0 } Wed Dec 31 19:00:00 1969
kern.aotmodebits: 0
kern.willshutdown: 0
kern.wake_abs_time: 0
kern.consoleoptions: 0
kern.sleep_abs_time: 0
kern.prng.scheduled_reseed_count: 742
kern.prng.scheduled_reseed_max_sample_count: 117669
kern.prng.entropy_max_sample_count: 6195
kern.prng.pool_0.sample_count: 0
kern.prng.pool_0.drain_count: 742
kern.prng.pool_0.max_sample_count: 2275
kern.prng.pool_1.sample_count: 175
kern.prng.pool_1.drain_count: 371
kern.prng.pool_1.max_sample_count: 804
kern.prng.pool_2.sample_count: 212
kern.prng.pool_2.drain_count: 185
kern.prng.pool_2.max_sample_count: 2461
kern.prng.pool_3.sample_count: 773
kern.prng.pool_3.drain_count: 92
kern.prng.pool_3.max_sample_count: 1637
kern.prng.pool_4.sample_count: 699
kern.prng.pool_4.drain_count: 46
kern.prng.pool_4.max_sample_count: 2618
kern.prng.pool_5.sample_count: 372
kern.prng.pool_5.drain_count: 23
kern.prng.pool_5.max_sample_count: 4523
kern.prng.pool_6.sample_count: 4503
kern.prng.pool_6.drain_count: 11
kern.prng.pool_6.max_sample_count: 8690
kern.prng.pool_7.sample_count: 11707
kern.prng.pool_7.drain_count: 5
kern.prng.pool_7.max_sample_count: 15683
kern.prng.pool_8.sample_count: 25085
kern.prng.pool_8.drain_count: 2
kern.prng.pool_8.max_sample_count: 28957
kern.prng.pool_9.sample_count: 25232
kern.prng.pool_9.drain_count: 1
kern.prng.pool_9.max_sample_count: 58087
kern.prng.pool_10.sample_count: 92055
kern.prng.pool_10.drain_count: 0
kern.prng.pool_10.max_sample_count: 92055
kern.prng.pool_11.sample_count: 87938
kern.prng.pool_11.drain_count: 0
kern.prng.pool_11.max_sample_count: 87938
kern.prng.pool_12.sample_count: 88326
kern.prng.pool_12.drain_count: 0
kern.prng.pool_12.max_sample_count: 88326
kern.prng.pool_13.sample_count: 85607
kern.prng.pool_13.drain_count: 0
kern.prng.pool_13.max_sample_count: 85607
kern.prng.pool_14.sample_count: 93736
kern.prng.pool_14.drain_count: 0
kern.prng.pool_14.max_sample_count: 93736
kern.prng.pool_15.sample_count: 84918
kern.prng.pool_15.drain_count: 0
kern.prng.pool_15.max_sample_count: 84918
kern.prng.pool_16.sample_count: 82556
kern.prng.pool_16.drain_count: 0
kern.prng.pool_16.max_sample_count: 82556
kern.prng.pool_17.sample_count: 86082
kern.prng.pool_17.drain_count: 0
kern.prng.pool_17.max_sample_count: 86082
kern.prng.pool_18.sample_count: 79636
kern.prng.pool_18.drain_count: 0
kern.prng.pool_18.max_sample_count: 79636
kern.prng.pool_19.sample_count: 82233
kern.prng.pool_19.drain_count: 0
kern.prng.pool_19.max_sample_count: 82233
kern.prng.pool_20.sample_count: 80631
kern.prng.pool_20.drain_count: 0
kern.prng.pool_20.max_sample_count: 80631
kern.prng.pool_21.sample_count: 82476
kern.prng.pool_21.drain_count: 0
kern.prng.pool_21.max_sample_count: 82476
kern.prng.pool_22.sample_count: 80867
kern.prng.pool_22.drain_count: 0
kern.prng.pool_22.max_sample_count: 80867
kern.prng.pool_23.sample_count: 85073
kern.prng.pool_23.drain_count: 0
kern.prng.pool_23.max_sample_count: 85073
kern.prng.pool_24.sample_count: 81751
kern.prng.pool_24.drain_count: 0
kern.prng.pool_24.max_sample_count: 81751
kern.prng.pool_25.sample_count: 83677
kern.prng.pool_25.drain_count: 0
kern.prng.pool_25.max_sample_count: 83677
kern.prng.pool_26.sample_count: 81902
kern.prng.pool_26.drain_count: 0
kern.prng.pool_26.max_sample_count: 81902
kern.prng.pool_27.sample_count: 83767
kern.prng.pool_27.drain_count: 0
kern.prng.pool_27.max_sample_count: 83767
kern.prng.pool_28.sample_count: 83087
kern.prng.pool_28.drain_count: 0
kern.prng.pool_28.max_sample_count: 83087
kern.prng.pool_29.sample_count: 83033
kern.prng.pool_29.drain_count: 0
kern.prng.pool_29.max_sample_count: 83033
kern.prng.pool_30.sample_count: 84344
kern.prng.pool_30.drain_count: 0
kern.prng.pool_30.max_sample_count: 84344
kern.prng.pool_31.sample_count: 86410
kern.prng.pool_31.drain_count: 0
kern.prng.pool_31.max_sample_count: 86410
kern.monotonicclock: 26677024
kern.monotonicclock_usecs: 26677024277526 1028566515567
kern.monotonicclock_rate_usecs: 30
kern.monotoniclock_offset_usecs: 1599334285761810
kern.pthread_mutex_default_policy: 0
kern.amfm_log_ctl: 0
vm.loadavg: { 1.13 1.17 1.15 }
vm.swapusage: total = 0.00M  used = 0.00M  free = 0.00M  (encrypted)
vm.add_wire_count_over_global_limit: 0
vm.add_wire_count_over_user_limit: 0
vm.compressor_available: 1
vm.compressor_bytes_used: 117409920
vm.compressor_compressed_bytes: 147113088
vm.compressor_eval_period_in_msecs: 250
vm.compressor_input_bytes: 463405056
vm.compressor_is_active: 1
vm.compressor_min_csegs_per_major_compaction: 30
vm.compressor_mode: 32
vm.compressor_sample_max_in_msecs: 10000
vm.compressor_sample_min_in_msecs: 500
vm.compressor_swapout_target_age: 0
vm.compressor_swapouts_under_300s: 0
vm.compressor_swapouts_under_30s: 0
vm.compressor_swapouts_under_60s: 0
vm.compressor_swapper_defrag_swapins: 0
vm.compressor_swapper_reclaim_swapins: 0
vm.compressor_swapper_swapout_fileq_throttled: 0
vm.compressor_swapper_swapout_fragmentation_detected: 0
vm.compressor_swapper_swapout_free_count_low: 0
vm.compressor_swapper_swapout_thrashing_detected: 0
vm.compressor_swapper_swapout_threshold_exceeded: 0
vm.compressor_thrashing_min_per_10msecs: 20
vm.compressor_thrashing_threshold_per_10msecs: 50
vm.compressor_timing_enabled: 0
vm.darkwake_mode: 0
vm.freeze_enabled: 1
vm.global_no_user_wire_amount: 1213621863
vm.global_user_wire_limit: 2831784345
vm.lz4_compressed_bytes: 0
vm.lz4_compression_failures: 0
vm.lz4_compressions: 0
vm.lz4_decompressed_bytes: 0
vm.lz4_decompressions: 0
vm.lz4_max_failure_run_length: -1
vm.lz4_max_failure_skips: 0
vm.lz4_max_preselects: 0
vm.lz4_profitable_bytes: 0
vm.lz4_run_continue_bytes: 0
vm.lz4_run_preselection_threshold: -1
vm.lz4_threshold: 12288
vm.lz4_wk_compression_delta: 0
vm.lz4_wk_compression_negative_delta: 0
vm.phantom_cache_eval_period_in_msecs: 250
vm.phantom_cache_thrashing_threshold: 500
vm.phantom_cache_thrashing_threshold_ssd: 1000
vm.swapfileprefix: /private/var/vm/swapfile
vm.uc_decompressions: 0
vm.user_wire_limit: 2831784345
vm.vm_copy_src_large: 0
vm.vm_copy_src_not_internal: 0
vm.vm_copy_src_not_symmetric: 0
vm.vm_page_background_count: 10691
vm.vm_page_background_exclude_external: 0
vm.vm_page_background_external_count: 2504
vm.vm_page_background_internal_count: 8187
vm.vm_page_background_mode: 1
vm.vm_page_background_promoted_count: 5389
vm.vm_page_background_target: 9876
vm.vm_page_external_count: 119986
vm.vm_page_filecache_min: 0
vm.vm_page_xpmapped_min: 0
vm.vm_pageout_considered_bq_external: 0
vm.vm_pageout_considered_bq_internal: 0
vm.vm_pageout_rejected_bq_external: 0
vm.vm_pageout_rejected_bq_internal: 0
vm.vm_ripe_target_age_in_secs: 172800
vm.wk_catime: 0
vm.wk_compressed_bytes_exclusive: 0
vm.wk_compressed_bytes_total: 0
vm.wk_compression_failures: 0
vm.wk_compressions: 0
vm.wk_compressions_exclusive: 0
vm.wk_datime: 0
vm.wk_decompressed_bytes: 0
vm.wk_decompressions: 0
vm.wk_mzv_compressions: 0
vm.wk_sv_compressions: 0
vm.wk_sv_decompressions: 0
vm.wkdm_reeval_threshold: 1536
vm.wkh_catime: 0
vm.wkh_compressions: 0
vm.wkh_datime: 0
vm.wkh_decompressions: 0
vm.wks_catime: 0
vm.wks_compressed_bytes: 0
vm.wks_compression_failures: 0
vm.wks_compressions: 0
vm.wks_datime: 0
vm.wks_decompressions: 0
vm.wks_sv_compressions: 0
vm.cs_blob_count: 384
vm.cs_blob_count_peak: 384
vm.cs_blob_size: 8535319
vm.cs_blob_size_max: 4358144
vm.cs_blob_size_peak: 8576321
vm.all_reusable_calls: 0
vm.all_reuse_calls: 0
vm.apple_protect_pager_cache_limit: 20
vm.apple_protect_pager_count: 2
vm.apple_protect_pager_count_mapped: 0
vm.can_reuse_failure: 0
vm.can_reuse_success: 0
vm.copied_on_read: 0
vm.corpse_footprint_count: 1
vm.corpse_footprint_full: 0
vm.corpse_footprint_no_buf: 0
vm.corpse_footprint_size_avg: 56756
vm.corpse_footprint_size_max: 56756
vm.cs_defer_to_pmap_cs: 0
vm.cs_defer_to_pmap_cs_not: 56778
vm.cs_executable_create_upl: 0
vm.cs_executable_wire: 0
vm.free_shared: 0
vm.iopl_pages_tainted: 0
vm.kern_lpage_count: 0
vm.madvise_free_debug: 0
vm.map_lookup_locked_copy_shadow_count: 19223
vm.map_lookup_locked_copy_shadow_max: 81723392
vm.map_lookup_locked_copy_shadow_size: 352063340544
vm.map_lookup_locked_copy_slowly_count: 0
vm.map_lookup_locked_copy_slowly_error: 0
vm.map_lookup_locked_copy_slowly_max: 0
vm.map_lookup_locked_copy_slowly_restart: 0
vm.map_lookup_locked_copy_slowly_size: 0
vm.map_lookup_locked_copy_strategically_count: 0
vm.map_lookup_locked_copy_strategically_error: 0
vm.map_lookup_locked_copy_strategically_max: 0
vm.map_lookup_locked_copy_strategically_restart: 0
vm.map_lookup_locked_copy_strategically_size: 0
vm.memory_pressure: 0
vm.num_tasks_can_use_secluded_mem: 0
vm.page_busy_absent_skipped: 0
vm.page_cleaned_count: 0
vm.page_free_count: 38236
vm.page_free_wanted: 0
vm.page_pageable_external_count: 71358
vm.page_pageable_internal_count: 38064
vm.page_purgeable_count: 863
vm.page_purgeable_wired_count: 12
vm.page_reusable_count: 4376
vm.page_secluded_count: 57307
vm.page_secluded_count_free: 9600
vm.page_secluded_count_inuse: 47707
vm.page_secluded_count_over_target: 47707
vm.page_secluded_eligible: 89052
vm.page_secluded_grab_failure_dirty: 0
vm.page_secluded_grab_failure_locked: 0
vm.page_secluded_grab_failure_state: 0
vm.page_secluded_grab_for_iokit: 0
vm.page_secluded_grab_for_iokit_success: 0
vm.page_secluded_grab_success_free: 0
vm.page_secluded_grab_success_other: 0
vm.page_secluded_target: 9600
vm.page_speculative_count: 48241
vm.pageout_freed_cleaned: 0
vm.pageout_freed_external: 0
vm.pageout_freed_speculative: 0
vm.pageout_inactive_clean: 0
vm.pageout_inactive_dirty_external: 0
vm.pageout_inactive_dirty_internal: 0
vm.pageout_inactive_used: 0
vm.pageout_speculative_clean: 0
vm.pages: 242964
vm.pagesize: 16384
vm.partial_reusable_calls: 278654
vm.partial_reuse_calls: 10571
vm.prefault_nb_bailout: 0
vm.prefault_nb_pages: 11634
vm.protect_privileged_from_untrusted: 1
vm.retired_pages_count: 0
vm.reusable_failure: 8467
vm.reusable_nonwritable: 0
vm.reusable_pages_shared: 0
vm.reusable_reclaimed: 0
vm.reusable_shared: 1
vm.reusable_success: 278647
vm.reuse_failure: 0
vm.reuse_success: 7915
vm.shared_region_destroy_delay: 120
vm.shared_region_pager_copied: 0
vm.shared_region_pager_reclaimed: 0
vm.shared_region_pager_slid: 32083
vm.shared_region_pager_slid_error: 0
vm.shared_region_peak: 1
vm.shared_region_persistence: 0
vm.shared_region_pivot: 0
vm.shared_region_trace_level: 1
vm.shared_region_unnest_logging: 1
vm.shared_region_version: 3
vm.upl_pages_tainted: 0
vm.vm_create_upl_extra_cow: 4
vm.vm_create_upl_extra_cow_pages: 86
vm.vm_create_upl_lookup_failure_copy: 0
vm.vm_create_upl_lookup_failure_write: 0
vm.vm_debug_events: 0
vm.vm_do_collapse_compressor: 7
vm.vm_do_collapse_compressor_pages: 16
vm.vm_do_collapse_terminate: 7
vm.vm_do_collapse_terminate_failure: 0
vm.vm_max_kernel_address: 18446744056529682431
vm.vm_min_kernel_address: 18446743936270598144
vm.vm_page_free_target: 2000
vm.vm_should_cow_but_wired: 0
vm.vmtc_128byte: 0
vm.vmtc_16_byte: 0
vm.vmtc_1_byte: 0
vm.vmtc_256_byte: 0
vm.vmtc_2_byte: 0
vm.vmtc_32_byte: 0
vm.vmtc_4_byte: 0
vm.vmtc_64_byte: 0
vm.vmtc_8_byte: 0
vm.vmtc_copyin_fail: 0
vm.vmtc_not_eligible: 0
vm.vmtc_not_found: 0
vm.vmtc_one_bit_flip: 0
vm.vmtc_total: 0
vm.vmtc_undiagnosed: 0
vm.shared_region_count: 1
vm.cs_all_vnodes: 0
vm.cs_debug: 0
vm.cs_debug_fail_on_unsigned_code: 0
vm.cs_debug_unsigned_exec_failures: 0
vm.cs_debug_unsigned_mmap_failures: 0
vm.cs_force_hard: 0
vm.cs_force_kill: 0
vfs.generic.maxtypenum: 27
vfs.generic.nfs.client.access_cache_timeout: 60
vfs.generic.nfs.client.access_delete: 1
vfs.generic.nfs.client.access_dotzfs: 1
vfs.generic.nfs.client.access_for_getattr: 0
vfs.generic.nfs.client.allow_async: 0
vfs.generic.nfs.client.callback_port: 0
vfs.generic.nfs.client.debug_ctl: 0
vfs.generic.nfs.client.idmap_ctrl: 1
vfs.generic.nfs.client.initialdowndelay: 5
vfs.generic.nfs.client.iosize: 1048576
vfs.generic.nfs.client.is_mobile: 0
vfs.generic.nfs.client.lockd_mounts: 0
vfs.generic.nfs.client.max_async_writes: 128
vfs.generic.nfs.client.nextdowndelay: 30
vfs.generic.nfs.client.nfsiod_thread_count: 0
vfs.generic.nfs.client.nfsiod_thread_max: 16
vfs.generic.nfs.client.readlink_nocache: 0
vfs.generic.nfs.client.squishy_flags: 11
vfs.generic.nfs.client.statfs_rate_limit: 10
vfs.generic.nfs.client.tcp_sockbuf: 131072
vfs.generic.root_unmounted_cleanly: 0
vfs.generic.sync_timeout: 5
vfs.generic.apfs.allocated: 32863137
vfs.generic.hfs.kdebug.allocation: 0
vfs.generic.hfs.jnl.trim_flush: 240
vfs.generic.hfs.jnl.kdebug.trim: 0
vfs.generic.hfs.allocated: 4969
vfs.generic.always_do_fullfsync: 0
vfs.nummntops: 27
vfs.nspace.prevent_materialization: 1
vfs.nspace.resolver: 0
vfs.nspace.thread_prevent_materialization: 0
vfs.io_compression_stats_block_size: 4096
vfs.io_compression_stats_enable: 0
net.local.stream.recvspace: 8192
net.local.stream.sendspace: 8192
net.local.stream.tracemdns: 0
net.local.dgram.maxdgram: 2048
net.local.dgram.recvspace: 4096
net.local.inflight: 0
net.inet.ip.portrange.first: 49152
net.inet.ip.portrange.hifirst: 49152
net.inet.ip.portrange.hilast: 65535
net.inet.ip.portrange.ipport_allow_udp_port_exhaustion: 0
net.inet.ip.portrange.last: 65535
net.inet.ip.portrange.lowfirst: 1023
net.inet.ip.portrange.lowlast: 600
net.inet.ip.forwarding: 0
net.inet.ip.redirect: 1
net.inet.ip.ttl: 64
net.inet.ip.rtexpire: 2400
net.inet.ip.rtminexpire: 10
net.inet.ip.rtmaxcache: 128
net.inet.ip.sourceroute: 0
net.inet.ip.accept_sourceroute: 0
net.inet.ip.dummynet.curr_time: 0
net.inet.ip.dummynet.debug: 0
net.inet.ip.dummynet.expire: 1
net.inet.ip.dummynet.extract_heap: 0
net.inet.ip.dummynet.hash_size: 64
net.inet.ip.dummynet.max_chain_len: 16
net.inet.ip.dummynet.ready_heap: 0
net.inet.ip.dummynet.red_avg_pkt_size: 512
net.inet.ip.dummynet.red_lookup_depth: 256
net.inet.ip.dummynet.red_max_pkt_size: 1500
net.inet.ip.dummynet.search_steps: 0
net.inet.ip.dummynet.searches: 0
net.inet.ip.linklocal.in.allowbadttl: 1
net.inet.ip.mcast.loop: 1
net.inet.ip.mcast.maxgrpsrc: 512
net.inet.ip.mcast.maxsocksrc: 128
net.inet.ip.subnets_are_local: 0
net.inet.ip.random_id_collisions: 0
net.inet.ip.random_id_statistics: 0
net.inet.ip.random_id_total: 0
net.inet.ip.adj_clear_hwcksum: 0
net.inet.ip.adj_partial_sum: 1
net.inet.ip.check_interface: 1
net.inet.ip.checkinterface_debug: 0
net.inet.ip.fragpackets: 0
net.inet.ip.maxfragpackets: 1536
net.inet.ip.maxfragsperpacket: 128
net.inet.ip.random_id: 1
net.inet.ip.rx_chaining: 1
net.inet.ip.rx_chainsz: 6
net.inet.ip.sendsourcequench: 0
net.inet.ip.maxchainsent: 3
net.inet.ip.output_perf: 0
net.inet.ip.output_perf_bins: 0
net.inet.ip.rfc6864: 1
net.inet.ip.select_srcif_debug: 0
net.inet.icmp.maskrepl: 0
net.inet.icmp.icmplim: 50
net.inet.icmp.timestamp: 0
